valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1978.59460449	4.0	1.0	293.697387695	1.0	1.0	93.6034984589	1.32998872028	0.545476615429	0.123058497906	0.829042673111	30.1051167445	1.10410518595	-3.32735490799	-48.71875	9.39354991913	0.676738381386	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3924.06567383	19.0	3.0	245.116195679	3.0	2.0	177.978516579	0.0	0.0334303416312	0.984703779221	-0.170999780297	34.9715600133	31.5816174312	4.49446487427	-36.7039031982	18.9548988342	0.56856238842	2.0	3.5	42.1875405312	1.0	3.5	0.999236684486	1.0	1
1.0	2069.13305664	5.0	2.0	203.158996582	1.0	1.0	108.105398178	0.0	-0.0334303416312	-0.984703779221	0.170999780297	2.10724062843	0.0	4.49446487427	-36.7039031982	18.9548988342	0.56856238842	1.0	3.5	5.27343988419	1.0	3.5	0.0985557271387	1.0	1
1.0	4802.95117188	18.0	2.0	576.35369873	4.0	3.0	60.6445007324	2.03623421323	0.265302538872	0.942588508129	0.202833473682	51.1823247918	21.1567865977	-2.17002987862	-16.2939510345	9.1931848526	0.917186915874	3.0	3.75999999046	133.154263139	3.0	19.4400005341	0.999981696623	1.0	1
1.0	2669.77758789	14.0	3.0	333.446075439	4.0	4.0	222.802676797	0.0	0.999346494675	-0.0346352793276	-0.0103471158072	68.8732276315	8.59807907652	12.7973995209	-9.12587547302	21.2875995636	0.756485879421	2.0	3.5	15.8203396797	2.0	4.82000017166	0.994915538245	1.0	1
1.0	2360.62182617	7.0	2.0	271.614990234	3.0	3.0	218.847615242	0.0	0.999346494675	-0.0346352793276	-0.0103471158072	68.2858229304	8.59807907652	12.7973995209	-9.12587547302	21.2875995636	0.756485879421	2.0	3.5	15.8203396797	2.0	4.82000017166	0.927662053257	1.0	1
1.0	3135.71899414	12.0	1.0	514.522583008	2.0	1.0	93.6034984589	1.32998872028	0.545476615429	0.123058497906	0.829042673111	34.5995524295	20.8651977185	-3.32735490799	-48.71875	9.39354991913	0.676738381386	0.0	0.0	0.0	0.0	0.0	0.992844201795	1.0	1
1.0	4153.72460938	11.0	2.0	423.984191895	2.0	1.0	88.3300606012	0.0	0.999346315861	-0.0346402898431	-0.0103461984545	71.961340804	2.47763558133	12.9239501953	-4.28608036041	16.826499939	0.338832259178	1.0	12.2399997711	46.1426010132	1.0	12.2399997711	0.999492698212	1.0	1
1.0	872.761169434	4.0	1.0	361.596008301	1.0	1.0	23.2031002045	3.34155657833	0.45843142271	-0.019016161561	0.888526320457	40.5305904197	23.9871015857	6.00595998764	-30.3653488159	12.1310405731	0.854854226112	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2782.64501953	14.0	1.0	358.308227539	1.0	1.0	14.7656202316	0.0	0.998028993607	-0.0332351177931	0.0532324761152	68.4027023406	7.30559794418	13.2909507751	-0.251563996077	15.1153001785	0.867295980453	1.0	13.3400001526	4.21875	2.0	14.1199998856	0.99999594928	1.0	1
1.0	179.154296875	3.0	0.0	44.3777008057	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	7.24943552901e-05	1.0	1
1.0	2049.59106445	15.0	2.0	381.318908691	2.0	2.0	83.3202199936	0.0	0.998028993607	-0.0332351177931	0.0532324761152	57.2374738958	7.30559794418	13.2909507751	-0.251563996077	15.1153001785	0.867295980453	0.0	0.0	0.0	1.0	14.1199998856	0.990116451403	1.0	1
1.0	2350.37353516	13.0	4.0	243.254989624	2.0	2.0	155.039023399	0.0	0.998023331165	-0.0332702361047	0.0533144548535	31.6319586897	0.0	5.07223987579	-40.8674507141	-9.8977355957	0.517568528652	1.0	6.40000009537	16.875	1.0	6.40000009537	0.996688862177	1.0	1
