valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	surface	geodesicDepthMax	geodesicDepthMin	geodesicDepthMean	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsLength	GM_thickness	fold_opening	Potential	Class	cycle
1.0	1.0	-4.13994979858	49.9808998108	-43.1441001892	-3.83028006554	67.1763000488	-66.6642990112	-8.16240024567	56.8889007568	-52.6052017212	1.0	0.409788042307	0.692112088203	0.594183981419	0.0296473074704	-0.622379183769	0.782154202461	461.186004639	14.3400001526	0.0	9.6948095251	1.0	1.0	0.0	0.0	0.0	32.9000015259	4.34042975331	0.649128496647	-1.0	0.0	1
1.0	1.0	-1.12514996529	68.1013031006	-17.4622001648	-18.4256000519	83.1207962036	-63.9146003723	-11.4784860611	73.6214828491	-43.7861709595	1.0	-0.241540372372	0.870930194855	0.427947193384	0.577901005745	-0.205681890249	0.789762854576	2811.85522461	45.3400001526	0.0	15.6238446152	2.0	5.0	4.0	10.8906002045	1.0	134.040008545	3.91452670967	0.546129882336	1.0	1.0	1
1.0	1.0	-2.40793991089	46.9612007141	-44.2695999146	-18.4256000519	83.1207962036	-63.9146003723	-9.4743938446	67.1324920654	-48.6939888	1.0	-0.139809951186	0.816325485706	0.560415804386	0.249691292644	-0.472076773643	0.845457136631	1951.10864258	18.8999996185	0.0	12.3731403592	1.0	2.0	1.0	10.845700264	1.0	101.879997253	4.17886406712	0.504573464394	1.0	1.0	1
1.0	1.0	-4.13994979858	49.9808998108	-43.1441001892	-30.1693992615	59.8064994812	-76.4865036011	-10.8716049194	58.2130737305	-56.8503723145	1.0	0.264081835747	0.772587239742	0.577381789684	-0.192866936326	-0.668199777603	0.718548119068	579.25	14.3400001526	0.0	7.91772252863	1.0	2.0	1.0	10.9560003281	0.0	56.1200027466	3.9770170513	1.29268527031	1.0	1.0	1
1.0	1.0	-1.28337001801	70.5565032959	-26.8076000214	-30.1693992615	59.8064994812	-76.4865036011	-10.1846151352	67.9851760864	-47.9916343689	1.0	-0.333928763866	0.857209861279	0.392023980618	0.238850936294	-0.336150556803	0.911017596722	1820.02050781	18.8999996185	0.0	10.9316837962	1.0	3.0	2.0	17.1149997711	1.0	110.479995728	4.06598035738	0.696956217289	1.0	1.0	1
1.0	1.0	-1.28337001801	70.5565032959	-26.8076000214	-30.1693992615	59.8064994812	-76.4865036011	-10.7303009033	69.7953414917	-49.3886451721	1.0	-0.314879387617	0.807162880898	0.499338626862	0.242923021317	-0.452264606953	0.858163833618	1607.98657227	18.8999996185	0.0	11.6280889096	2.0	3.0	1.0	17.1149997711	0.0	92.1999969482	4.01886086386	0.705557882786	1.0	1.0	1
1.0	1.0	-4.71897983551	64.3501968384	-21.6667995453	-16.6413993835	80.1253967285	-57.3152999878	-11.0124788284	71.1653060913	-41.9813537598	1.0	0.0925380215049	0.741537094116	0.664499402046	0.267336934805	-0.547469556332	0.792974174023	995.132446289	17.0400009155	0.0	9.66438964844	1.0	2.0	1.0	5.31292009354	0.0	66.0	3.81653901451	1.58711946011	-1.0	0.0	1
1.0	1.0	-4.71897983551	64.3501968384	-21.6667995453	-18.4535999298	72.6760025024	-65.0843963623	-10.0856084824	63.3825302124	-34.7007904053	1.0	-0.134207159281	0.934391260147	0.330002188683	0.230249777436	-0.128694847226	0.964584171772	596.788696289	16.3600006104	0.0	10.821484375	3.0	3.0	0.0	30.0	0.0	38.6800003052	4.19256019592	0.949907064438	1.0	1.0	1
1.0	1.0	-4.71897983551	64.3501968384	-21.6667995453	-16.6413993835	80.1253967285	-57.3152999878	-10.4197788239	70.2564086914	-32.1723709106	1.0	0.0725762844086	0.686820685863	0.723194360733	-0.138231098652	-0.418882697821	0.897457182407	294.906402588	14.2399997711	0.0	8.05259195964	2.0	2.0	0.0	30.0	0.0	24.5399990082	3.98625297957	2.01169252396	1.0	1.0	1
1.0	1.0	-2.960750103	19.6856002808	-51.7232017517	-9.20656967163	91.3367996216	-34.6637992859	-11.2617139816	54.5569190979	-42.5388336182	1.0	0.00179681635927	0.837390184402	0.546602666378	0.055341206491	-0.63241815567	0.772647798061	4898.47509766	21.5400009155	0.0	11.7065418437	1.0	4.0	3.0	10.5167999268	9.0	279.940002441	3.99732222993	1.24690997601	1.0	1.0	1
1.0	1.0	-3.61436009407	55.5119018555	-5.77894020081	-15.9854001999	65.7339019775	-70.9505004883	-10.3397531509	63.1138839722	-41.5759925842	1.0	-0.0193315725774	0.857075095177	0.514828681946	0.187881842256	-0.485205113888	0.853976845741	3249.29394531	21.5400009155	0.0	11.2577142483	1.0	5.0	6.0	10.5167999268	2.0	195.839996338	3.87972152764	1.33081746101	1.0	1.0	1
1.0	1.0	-4.71897983551	64.3501968384	-21.6667995453	-18.4535999298	72.6760025024	-65.0843963623	-11.3103647232	71.1870727539	-43.5956306458	1.0	0.0610197894275	0.754405319691	0.653566539288	0.354210466146	-0.508252024651	0.78499352932	1091.84814453	17.0400009155	0.0	9.43332498115	1.0	3.0	2.0	5.31292009354	0.0	76.4799957275	3.78723515143	1.65300738811	1.0	1.0	1
1.0	1.0	-4.63228988647	65.2516021729	-19.7872009277	-15.9854001999	65.7339019775	-70.9505004883	-10.7258052826	68.132774353	-44.4049530029	1.0	-0.0294507909566	0.88060939312	0.472926795483	0.369240999222	-0.301850557327	0.878946721554	1645.06311035	17.0400009155	0.0	9.45942795445	1.0	4.0	4.0	11.667599678	0.0	114.980003357	3.8553837276	1.65409612656	1.0	1.0	1
1.0	1.0	-4.71897983551	64.3501968384	-21.6667995453	-16.6413993835	80.1253967285	-57.3152999878	-10.4197788239	70.2564086914	-32.1723709106	1.0	0.0725762844086	0.686820685863	0.723194360733	-0.138231098652	-0.418882697821	0.897457182407	294.906402588	14.2399997711	0.0	8.05259195964	2.0	2.0	0.0	30.0	0.0	24.5399990082	3.98625297957	2.01169252396	1.0	1.0	1
1.0	1.0	-3.61436009407	55.5119018555	-5.77894020081	-15.9854001999	65.7339019775	-70.9505004883	-9.82964420319	60.3274917603	-40.0310096741	1.0	-0.0854195654392	0.889089107513	0.449693292379	0.122303619981	-0.467736661434	0.875365197659	2484.78955078	21.5400009155	0.0	11.7347634055	2.0	4.0	2.0	10.5167999268	2.0	147.639984131	3.94110479175	1.21129512787	1.0	1.0	1
