valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-70.4705963135	66.391998291	7.76214981079	-47.6589012146	4.17969989777	41.6980018616	-65.7635040283	32.7794761658	19.8851203918	1.0	-0.502857744694	-0.0326144360006	-0.863753557205	0.0230895262212	0.998583137989	0.0479440465569	1040.08752441	15.279999733	0.0	1.0	3.0	2.0	7.31970977783	3.0	511.523010254	-1.0	0.0	1
1.0	1.0	-54.4789009094	70.4085998535	21.2907009125	-54.6792984009	63.3942985535	26.1294994354	-54.7352981567	66.5552978516	22.8311004639	1.0	-0.915720880032	-0.386180967093	0.110992982984	-0.211860075593	0.855553269386	-0.472381174564	28.7073001862	6.84000015259	0.0	1.0	1.0	0.0	0.0	0.0	50.0976982117	1.0	1.0	1
1.0	1.0	-70.4705963135	66.391998291	7.76214981079	-23.1205005646	0.063690200448	42.0101013184	-53.3703193665	28.2333869934	16.0842514038	1.0	-0.643472075462	-0.0179790500551	-0.765258431435	0.0344467237592	0.988182067871	-0.149363979697	2119.92407227	26.3400001526	0.0	8.0	11.0	3.0	10.1076002121	4.0	787.060119629	1.0	1.0	1
1.0	1.0	-69.8061981201	62.3707008362	-22.3328990936	-43.0928993225	-21.5305995941	29.7789001465	-52.850227356	25.4886207581	9.3491268158	1.0	-0.237111866474	-0.330873697996	-0.913400530815	0.0544786974788	0.955721974373	-0.289184302092	7143.70019531	39.9000015259	0.0	6.0	12.0	8.0	9.49423980713	24.0	1952.4901123	1.0	1.0	1
1.0	1.0	-69.8061981201	62.3707008362	-22.3328990936	-43.0928993225	-21.5305995941	29.7789001465	-61.7300720215	29.757101059	11.1180849075	1.0	-0.157835379243	-0.305487453938	-0.939023673534	-0.0246624927968	0.972632884979	-0.2310346663	4226.59472656	26.2000007629	0.0	2.0	7.0	6.0	10.3991003036	6.0	1301.22070312	1.0	1.0	1
1.0	1.0	-69.8061981201	62.3707008362	-22.3328990936	-43.0928993225	-21.5305995941	29.7789001465	-60.7414245605	29.7426757812	8.09965229034	1.0	-0.0304299481213	-0.394911020994	-0.918215215206	-0.0396686084569	0.944817721844	-0.325185954571	3210.79785156	26.2000007629	0.0	6.0	8.0	2.0	10.3991003036	0.0	777.832519531	1.0	1.0	1
1.0	1.0	-69.8061981201	62.3707008362	-22.3328990936	-43.0928993225	-21.5305995941	29.7789001465	-62.1967277527	28.1583194733	11.1403312683	1.0	-0.112420789897	-0.309547275305	-0.94421505928	-0.0521600469947	0.979079663754	-0.196678310633	4041.10131836	26.2000007629	0.0	1.0	6.0	6.0	10.1076002121	7.0	1281.4453125	1.0	1.0	1
1.0	1.0	-70.4705963135	66.391998291	7.76214981079	-43.382900238	-0.921051025391	38.8899993896	-63.3958778381	30.5978527069	21.7201652527	1.0	-0.579253613949	-0.111354827881	-0.807505607605	-0.0715236663818	0.996667981148	0.0392073616385	1181.41564941	15.279999733	0.0	1.0	5.0	4.0	9.65215015411	3.0	632.812133789	1.0	1.0	1
1.0	1.0	-74.1798019409	55.145198822	13.3908996582	-57.550201416	10.7544002533	38.9104995728	-64.93334198	23.6757259369	25.6980838776	1.0	-0.552559137344	-0.627433419228	-0.548639893532	-0.515317559242	0.810713350773	-0.277833908796	234.074798584	13.8400001526	0.0	2.0	2.0	0.0	30.0	0.0	160.839508057	1.0	1.0	1
1.0	1.0	-69.8061981201	62.3707008362	-22.3328990936	-64.8209991455	0.394531011581	22.7166004181	-63.5005493164	30.3803215027	2.00107645988	1.0	0.129398211837	-0.508350849152	-0.851372778416	-0.0512064397335	0.906020462513	-0.420124858618	2278.91455078	26.2000007629	0.0	3.0	3.0	0.0	30.0	0.0	394.18939209	1.0	1.0	1
